species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Inca Dove,1,50,0.9600,0.9412,0.9600,0.9505,0.9800
Barn Owl,1,52,0.9615,0.9434,0.9615,0.9524,1.0000
Magnolia Warbler,2,105,0.9619,0.9479,0.9611,0.9539,0.9905
Black Skimmer,1,53,0.9623,0.9808,0.9623,0.9714,0.9623
Winter Wren,1,54,0.9630,0.7429,0.9630,0.8387,1.0000
Eastern Towhee,1,54,0.9630,0.9455,0.9630,0.9541,0.9815
Wilson's Phalarope,2,81,0.9630,0.9259,0.9633,0.9433,1.0000
Ruddy Turnstone,1,55,0.9636,0.8983,0.9636,0.9298,1.0000
Tree Swallow,1,56,0.9643,0.9000,0.9643,0.9310,0.9821
Wood Stork,1,56,0.9643,0.9310,0.9643,0.9474,1.0000
House Finch,2,112,0.9643,0.8622,0.9615,0.9086,0.9911
Swallow-tailed Kite,1,29,0.9655,0.8750,0.9655,0.9180,1.0000
Rock Pigeon,1,58,0.9655,0.9655,0.9655,0.9655,0.9655
Abert's Towhee,1,29,0.9655,0.9333,0.9655,0.9492,1.0000
Prairie Warbler,1,60,0.9667,0.9206,0.9667,0.9431,1.0000
Black-throated Green Warbler,1,60,0.9667,0.9206,0.9667,0.9431,0.9667
White-breasted Nuthatch,1,60,0.9667,0.9355,0.9667,0.9508,1.0000
Red-eyed Vireo,1,60,0.9667,0.9355,0.9667,0.9508,0.9833
Western Scrub-Jay,1,60,0.9667,0.8657,0.9667,0.9134,1.0000
Mute Swan,1,60,0.9667,0.8657,0.9667,0.9134,0.9833
Least Sandpiper,1,60,0.9667,0.8788,0.9667,0.9206,1.0000
Willet,1,60,0.9667,0.9062,0.9667,0.9355,1.0000
Pileated Woodpecker,1,60,0.9667,0.9508,0.9667,0.9587,0.9833
Townsend's Warbler,1,60,0.9667,0.9508,0.9667,0.9587,1.0000
Horned Lark,1,60,0.9667,0.9508,0.9667,0.9587,0.9667
Savannah Sparrow,1,60,0.9667,0.9508,0.9667,0.9587,1.0000
Blue Jay,1,60,0.9667,1.0000,0.9667,0.9831,1.0000
Bushtit,1,60,0.9667,0.8406,0.9667,0.8992,0.9667
Wild Turkey,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
Marbled Godwit,1,60,0.9667,0.9831,0.9667,0.9748,1.0000
Northern Bobwhite,1,32,0.9688,0.9688,0.9688,0.9688,1.0000
Spotted Sandpiper,2,98,0.9694,0.9094,0.9706,0.9363,1.0000
Wood Duck,2,106,0.9717,0.9616,0.9674,0.9643,1.0000
Brown-headed Cowbird,2,109,0.9725,0.9202,0.9713,0.9450,1.0000
Common Merganser,2,74,0.9730,0.9449,0.9762,0.9595,1.0000
Brown-headed Nuthatch,1,38,0.9737,0.9487,0.9737,0.9610,1.0000
Black-billed Magpie,1,38,0.9737,0.9024,0.9737,0.9367,1.0000
Common Nighthawk,1,39,0.9744,1.0000,0.9744,0.9870,0.9744
Black-throated Gray Warbler,1,41,0.9756,0.9091,0.9756,0.9412,0.9756
Ash-throated Flycatcher,1,41,0.9756,0.9756,0.9756,0.9756,1.0000
Louisiana Waterthrush,1,42,0.9762,0.8542,0.9762,0.9111,1.0000
Great Horned Owl,1,46,0.9783,0.9783,0.9783,0.9783,1.0000
Black Vulture,1,48,0.9792,0.9216,0.9792,0.9495,1.0000
Hooded Warbler,1,49,0.9796,0.9412,0.9796,0.9600,1.0000
Gila Woodpecker,1,50,0.9800,0.8750,0.9800,0.9245,0.9800
Field Sparrow,1,51,0.9804,0.9434,0.9804,0.9615,1.0000
Golden-crowned Kinglet,1,51,0.9804,1.0000,0.9804,0.9901,1.0000
Gambel's Quail,2,52,0.9808,0.9706,0.9706,0.9706,1.0000
Long-billed Curlew,1,53,0.9811,0.9630,0.9811,0.9720,0.9811
Great Crested Flycatcher,1,53,0.9811,1.0000,0.9811,0.9905,1.0000
Chestnut-backed Chickadee,1,54,0.9815,0.6092,0.9815,0.7518,1.0000
Cedar Waxwing,1,54,0.9815,0.9298,0.9815,0.9550,1.0000
White-eyed Vireo,1,57,0.9825,0.9655,0.9825,0.9739,1.0000
Acorn Woodpecker,1,58,0.9828,0.9500,0.9828,0.9661,1.0000
Lark Sparrow,1,59,0.9831,1.0000,0.9831,0.9915,0.9831
Eurasian Collared-Dove,1,59,0.9831,0.9206,0.9831,0.9508,1.0000
American Robin,2,119,0.9832,1.0000,0.9832,0.9915,0.9916
Gray Catbird,1,60,0.9833,0.8939,0.9833,0.9365,0.9833
Canada Warbler,1,60,0.9833,0.9833,0.9833,0.9833,1.0000
Black Phoebe,1,60,0.9833,0.9833,0.9833,0.9833,1.0000
Pied-billed Grebe,1,60,0.9833,0.9365,0.9833,0.9593,0.9833
Great Egret,1,60,0.9833,0.9516,0.9833,0.9672,1.0000
Black-and-white Warbler,1,60,0.9833,0.9672,0.9833,0.9752,1.0000
American Goldfinch,2,120,0.9833,0.9754,0.9833,0.9792,1.0000
White-crowned Sparrow,2,120,0.9833,0.9751,0.9833,0.9792,0.9917
Lincoln's Sparrow,1,60,0.9833,0.9516,0.9833,0.9672,1.0000
Yellow-breasted Chat,1,60,0.9833,0.9516,0.9833,0.9672,1.0000
Northern Mockingbird,1,60,0.9833,0.9516,0.9833,0.9672,1.0000
Red-breasted Nuthatch,1,60,0.9833,0.9516,0.9833,0.9672,0.9833
Tufted Titmouse,1,60,0.9833,0.9516,0.9833,0.9672,1.0000
Green Heron,1,60,0.9833,0.9672,0.9833,0.9752,1.0000
Evening Grosbeak,2,120,0.9833,1.0000,0.9833,0.9915,1.0000
Anhinga,1,60,0.9833,0.8310,0.9833,0.9008,1.0000
Black-bellied Plover,2,77,0.9870,0.9884,0.9857,0.9869,1.0000
California Quail,2,78,0.9872,0.8801,0.9773,0.9241,1.0000
Black-throated Blue Warbler,2,91,0.9890,0.9571,0.9915,0.9733,0.9890
Red-winged Blackbird,2,119,0.9916,0.9754,0.9915,0.9833,1.0000
Northern Cardinal,2,120,0.9917,1.0000,0.9917,0.9958,1.0000
Black-bellied Whistling-Duck,1,20,1.0000,1.0000,1.0000,1.0000,1.0000
Roseate Spoonbill,1,29,1.0000,1.0000,1.0000,1.0000,1.0000
Brant,1,32,1.0000,1.0000,1.0000,1.0000,1.0000
American Avocet,1,54,1.0000,1.0000,1.0000,1.0000,1.0000
Monk Parakeet,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
Cactus Wren,1,43,1.0000,1.0000,1.0000,1.0000,1.0000
Painted Bunting,2,98,1.0000,1.0000,1.0000,1.0000,1.0000
American Tree Sparrow,1,59,1.0000,1.0000,1.0000,1.0000,1.0000
Steller's Jay,1,60,1.0000,0.9836,1.0000,0.9917,1.0000
Belted Kingfisher,1,60,1.0000,0.9836,1.0000,0.9917,1.0000
Ovenbird,1,60,1.0000,0.9836,1.0000,0.9917,1.0000
Brown Creeper,1,58,1.0000,0.9831,1.0000,0.9915,1.0000
Barn Swallow,1,57,1.0000,0.9828,1.0000,0.9913,1.0000
Green-tailed Towhee,1,28,1.0000,0.9655,1.0000,0.9825,1.0000
Semipalmated Plover,1,54,1.0000,0.9643,1.0000,0.9818,1.0000
Canyon Wren,1,26,1.0000,0.9630,1.0000,0.9811,1.0000
American Pipit,1,58,1.0000,0.9508,1.0000,0.9748,1.0000
Mountain Chickadee,1,53,1.0000,0.9464,1.0000,0.9725,1.0000
Osprey,1,52,1.0000,0.9455,1.0000,0.9720,1.0000
Greater White-fronted Goose,1,33,1.0000,0.9429,1.0000,0.9706,1.0000
Bobolink,2,88,1.0000,0.9539,1.0000,0.9764,1.0000
Black-necked Stilt,1,33,1.0000,0.9429,1.0000,0.9706,1.0000
Pine Siskin,1,60,1.0000,0.9375,1.0000,0.9677,1.0000
Carolina Wren,1,60,1.0000,0.9375,1.0000,0.9677,1.0000
Wilson's Snipe,1,55,1.0000,0.9322,1.0000,0.9649,1.0000
House Wren,1,54,1.0000,0.9310,1.0000,0.9643,1.0000
American Dipper,1,31,1.0000,0.9118,1.0000,0.9538,1.0000
California Thrasher,1,32,1.0000,0.8889,1.0000,0.9412,1.0000
Ruby-crowned Kinglet,1,60,1.0000,0.8824,1.0000,0.9375,1.0000
Pyrrhuloxia,1,48,1.0000,0.9796,1.0000,0.9897,1.0000
Band-tailed Pigeon,1,40,1.0000,0.9756,1.0000,0.9877,1.0000
Ruffed Grouse,1,40,1.0000,0.9756,1.0000,0.9877,1.0000
Blue-winged Warbler,1,38,1.0000,0.9744,1.0000,0.9870,1.0000
Scissor-tailed Flycatcher,1,37,1.0000,0.9737,1.0000,0.9867,1.0000
Brown Pelican,1,34,1.0000,0.9714,1.0000,0.9855,1.0000
Greater Roadrunner,1,34,1.0000,0.9714,1.0000,0.9855,1.0000
Wilson's Warbler,1,60,1.0000,0.9677,1.0000,0.9836,1.0000
White-tailed Kite,1,13,1.0000,0.8125,1.0000,0.8966,1.0000
