run,n_test,n_classes,top1_accuracy,top5_accuracy,balanced_accuracy,cohen_kappa,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,species_404_accuracy,order_22_accuracy,model,level,space,taxo,n_unique_texts,n_multileaf_imgs,species_acc_on_multileaf,variant_acc,variant_prior,variant_gain,oracle_variant_n,oracle_variant_acc,oracle_variant_random,oracle_variant_prior,oracle_variant_gain,vp_n_leaves,vp_bal,vp_chance,vp81_n_leaves,vp81_bal,vp81_chance,errors_total,errors_within_same_species_pct,errors_within_same_order_pct
clip_b16_T3bx_leaf,24633,555,0.3222100434376649,0.6774651889741404,0.3063975131329436,0.32092404503201655,0.33672786817657696,0.3063975131329436,0.27154465337435996,0.3222100434376649,0.3222100434376649,0.3222100434376649,0.3713870902701314,0.3222100434376649,0.29325089433878965,0.4058376973977997,0.9420289855072463,clip_b16,T3bx,leaf,gbif,555.0,11955.0,0.3947302383939774,0.5634668361941089,0.562107904642409,0.0013589315516998601,11955.0,0.5834378920953576,0.4774208838700683,0.562107904642409,0.021329987452948562,288.0,0.5969808094201441,0.4756944444444444,167.0,0.5938328450100194,0.48502994011976047,16696.0,12.338284619070436,91.44705318639194
clip_b16_T3bx_species,24633,404,0.41456582633053224,0.7604433077578857,,,,,,,,,,,,,,clip_b16,T3bx,species,gbif,,,,,,,,,,,,,,,,,,,,
bioclip_T0d_leaf,24633,555,0.4562984614135509,0.546340275240531,0.42338491213004553,0.4552247818415307,0.3123905708877286,0.42338491213004553,0.32694780935493,0.4562984614135509,0.4562984614135509,0.4562984614135509,0.3416298295669026,0.4562984614135509,0.3581809823271718,0.47460723419802703,0.8607153006129988,bioclip,T0d,leaf,tol,555.0,11955.0,0.08055207026348808,0.5316718587746625,0.562107904642409,-0.03043604586774651,11955.0,0.5617733166039314,0.4774208838700683,0.562107904642409,-0.0003345880384776345,288.0,0.5565384243282417,0.4756944444444444,167.0,0.5920843220666313,0.48502994011976047,13393.0,3.367430747405361,74.38213992384081
bioclip_T0d_species,24633,404,0.8135834043762432,0.9626517273576097,,,,,,,,,,,,,,bioclip,T0d,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip_T0s_leaf,24633,555,0.4642146713757967,0.5690740064141598,0.4316815604482049,0.4631553859938301,0.3405717055082054,0.4316815604482049,0.3392756645071793,0.4642146713757967,0.4642146713757967,0.4642146713757967,0.3683948361309089,0.4642146713757967,0.3700539359885556,0.484350261843868,0.8724475297365323,bioclip,T0s,leaf,tol,555.0,11955.0,0.10079464659138436,0.5883817427385892,0.562107904642409,0.026273838096180224,11955.0,0.5902969468841489,0.4774208838700683,0.562107904642409,0.028189042241739903,288.0,0.5765314222780125,0.4756944444444444,167.0,0.6265632646386914,0.48502994011976047,13198.0,3.758145173511138,76.19336263070163
bioclip_T0s_species,24633,404,0.8135834043762432,0.9626517273576097,,,,,,,,,,,,,,bioclip,T0s,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip_T0sx_leaf,24633,555,0.45499939106077214,0.5472333861080664,0.42202869464155585,0.4539228070874889,0.3150640872061638,0.42202869464155585,0.32586035782600464,0.45499939106077214,0.45499939106077214,0.45499939106077214,0.3444578876047203,0.45499939106077214,0.35695953473862,0.47517557747736777,0.8696870052368774,bioclip,T0sx,leaf,tol,555.0,11955.0,0.08163948138854037,0.49077868852459017,0.562107904642409,-0.07132921611781884,11955.0,0.5417816813048933,0.4774208838700683,0.562107904642409,-0.02032622333751566,288.0,0.5296259167488858,0.4756944444444444,167.0,0.5456723329477421,0.48502994011976047,13425.0,3.702048417132216,76.08938547486034
bioclip_T0sx_species,24633,404,0.8135834043762432,0.9626517273576097,,,,,,,,,,,,,,bioclip,T0sx,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip_T3a_leaf,24633,555,0.581009215280315,0.8491454552835627,0.5495909299136539,0.5801921911077659,0.5367829275509781,0.5495909299136539,0.4944900823573391,0.581009215280315,0.581009215280315,0.581009215280315,0.575151436782226,0.581009215280315,0.5305142622774545,0.7049486461251168,0.9603377582917225,bioclip,T3a,leaf,tol,555.0,11955.0,0.5662902551233794,0.54903988183161,0.562107904642409,-0.013068022810798996,11955.0,0.5403596821413634,0.4774208838700683,0.562107904642409,-0.021748222501045578,288.0,0.5316505555567539,0.4756944444444444,167.0,0.556439567448568,0.48502994011976047,10321.0,29.580467009010754,90.53386299777154
bioclip_T3a_species,24633,404,0.8185361100962124,0.9700807859375634,,,,,,,,,,,,,,bioclip,T3a,species,tol,,,,,,,,,,,,,,,,,,,,
