species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
American Oystercatcher,1,49,0.8980,0.9778,0.8980,0.9362,0.9388
Turkey Vulture,1,59,0.8983,0.9298,0.8983,0.9138,0.9661
Yellow-crowned Night-Heron,2,99,0.8990,0.8631,0.8942,0.8781,0.9798
Brown-headed Cowbird,2,109,0.8991,0.7376,0.8971,0.8072,0.9817
Red-winged Blackbird,2,119,0.8992,0.8789,0.8992,0.8868,0.9916
Horned Lark,1,60,0.9000,0.8852,0.9000,0.8926,0.9667
Red-bellied Woodpecker,1,60,0.9000,0.8438,0.9000,0.8710,0.9833
White-crowned Sparrow,2,120,0.9000,0.9229,0.9000,0.9113,0.9583
Pied-billed Grebe,1,60,0.9000,0.8438,0.9000,0.8710,0.9667
Savannah Sparrow,1,60,0.9000,0.8438,0.9000,0.8710,1.0000
Great Egret,1,60,0.9000,0.7826,0.9000,0.8372,1.0000
Gila Woodpecker,1,50,0.9000,0.9000,0.9000,0.9000,0.9800
Prairie Warbler,1,60,0.9000,0.8308,0.9000,0.8640,1.0000
Wilson's Warbler,1,60,0.9000,0.8438,0.9000,0.8710,1.0000
Lincoln's Sparrow,1,60,0.9000,0.7826,0.9000,0.8372,0.9833
Carolina Wren,1,60,0.9000,0.7826,0.9000,0.8372,0.9833
Common Yellowthroat,2,120,0.9000,0.8498,0.9000,0.8742,0.9750
White Ibis,2,91,0.9011,0.8963,0.8636,0.8768,0.9560
Osprey,1,52,0.9038,0.7833,0.9038,0.8393,0.9808
Long-billed Curlew,1,53,0.9057,0.9057,0.9057,0.9057,0.9434
California Thrasher,1,32,0.9062,0.6905,0.9062,0.7838,1.0000
Brant,1,32,0.9062,1.0000,0.9062,0.9508,0.9375
Cactus Wren,1,43,0.9070,0.8864,0.9070,0.8966,0.9767
Burrowing Owl,1,43,0.9070,0.7800,0.9070,0.8387,0.9767
Palm Warbler,1,44,0.9091,0.8696,0.9091,0.8889,0.9545
Greater White-fronted Goose,1,33,0.9091,0.8571,0.9091,0.8824,0.9697
