species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Blue Jay,1,60,0.9833,1.0000,0.9833,0.9916,0.9833
Northern Cardinal,2,120,0.9833,0.9672,0.9833,0.9751,1.0000
Pied-billed Grebe,1,60,0.9833,0.9833,0.9833,0.9833,0.9833
Red-breasted Nuthatch,1,60,0.9833,0.9833,0.9833,0.9833,1.0000
Northern Mockingbird,1,60,0.9833,0.9833,0.9833,0.9833,1.0000
Common Gallinule,2,64,0.9844,0.8572,0.9667,0.9087,1.0000
California Quail,2,78,0.9872,0.9375,0.9773,0.9565,1.0000
Painted Bunting,2,98,0.9898,0.9419,0.9872,0.9634,1.0000
American Tree Sparrow,1,59,1.0000,0.9833,1.0000,0.9916,1.0000
Scissor-tailed Flycatcher,1,37,1.0000,0.9250,1.0000,0.9610,1.0000
Green-tailed Towhee,1,28,1.0000,0.9032,1.0000,0.9492,1.0000
Black-bellied Whistling-Duck,1,20,1.0000,0.9091,1.0000,0.9524,1.0000
Ruby-crowned Kinglet,1,60,1.0000,0.8333,1.0000,0.9091,1.0000
Bohemian Waxwing,1,60,1.0000,0.9836,1.0000,0.9917,1.0000
Cactus Wren,1,43,1.0000,0.9773,1.0000,0.9885,1.0000
Barn Swallow,1,57,1.0000,0.9828,1.0000,0.9913,1.0000
Canyon Wren,1,26,1.0000,1.0000,1.0000,1.0000,1.0000
Semipalmated Plover,1,54,1.0000,1.0000,1.0000,1.0000,1.0000
Brown Pelican,1,34,1.0000,1.0000,1.0000,1.0000,1.0000
Roseate Spoonbill,1,29,1.0000,1.0000,1.0000,1.0000,1.0000
Northern Bobwhite,1,32,1.0000,1.0000,1.0000,1.0000,1.0000
Black-necked Stilt,1,33,1.0000,1.0000,1.0000,1.0000,1.0000
American Avocet,1,54,1.0000,1.0000,1.0000,1.0000,1.0000
Greater Roadrunner,1,34,1.0000,1.0000,1.0000,1.0000,1.0000
Osprey,1,52,1.0000,0.8966,1.0000,0.9455,1.0000
American Dipper,1,31,1.0000,0.9688,1.0000,0.9841,1.0000
Ruffed Grouse,1,40,1.0000,0.9524,1.0000,0.9756,1.0000
Green Heron,1,60,1.0000,0.9375,1.0000,0.9677,1.0000
Carolina Wren,1,60,1.0000,0.9375,1.0000,0.9677,1.0000
Marbled Godwit,1,60,1.0000,0.9677,1.0000,0.9836,1.0000
Ruddy Turnstone,1,55,1.0000,0.9483,1.0000,0.9735,1.0000
Black Vulture,1,48,1.0000,0.9600,1.0000,0.9796,1.0000
Burrowing Owl,1,43,1.0000,0.9556,1.0000,0.9773,1.0000
