species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Pelagic Cormorant,1,26,0.6923,0.5000,0.6923,0.5806,0.9231
Barn Owl,1,52,0.6923,0.6792,0.6923,0.6857,0.8462
Snowy Egret,1,49,0.6939,0.8293,0.6939,0.7556,0.9796
Wood Thrush,1,46,0.6957,0.8000,0.6957,0.7442,0.8913
Ring-billed Gull,2,96,0.6979,0.5705,0.6806,0.6204,0.8854
Anna's Hummingbird,2,106,0.6981,0.5828,0.6948,0.6339,0.9340
Great Blue Heron,1,60,0.7000,0.7925,0.7000,0.7434,0.9167
Common Loon,2,120,0.7000,0.7302,0.7000,0.7021,0.8333
Eastern Screech-Owl,1,50,0.7000,0.6140,0.7000,0.6542,0.9800
White-throated Sparrow,2,104,0.7019,0.7294,0.6872,0.7075,0.9712
Yellow-billed Cuckoo,1,47,0.7021,0.6226,0.7021,0.6600,0.8298
Townsend's Solitaire,1,37,0.7027,0.7222,0.7027,0.7123,0.9730
Broad-billed Hummingbird,2,71,0.7042,0.6600,0.5728,0.5971,0.9577
Redhead,2,44,0.7045,0.5667,0.7048,0.6260,0.8864
Gadwall,2,75,0.7067,0.4901,0.5949,0.5361,0.8667
Black Scoter,2,41,0.7073,0.6645,0.7237,0.6869,0.9024
Summer Tanager,3,100,0.7100,0.7211,0.6672,0.6844,0.9500
White-winged Crossbill,2,52,0.7115,0.7183,0.7188,0.7179,0.8654
Yellow-bellied Sapsucker,1,59,0.7119,0.6562,0.7119,0.6829,0.8814
Tree Swallow,1,56,0.7143,0.8163,0.7143,0.7619,0.9643
Scarlet Tanager,2,77,0.7143,0.6955,0.6531,0.6729,0.9740
Song Sparrow,1,60,0.7167,0.7167,0.7167,0.7167,0.9167
Forster's Tern,1,60,0.7167,0.5972,0.7167,0.6515,0.9833
Northern Shrike,1,60,0.7167,0.6324,0.7167,0.6719,0.8667
Curve-billed Thrasher,1,46,0.7174,0.8462,0.7174,0.7765,0.9130
Hutton's Vireo,1,39,0.7179,0.5385,0.7179,0.6154,0.8718
Reddish Egret,2,75,0.7200,0.7193,0.6405,0.6668,0.9867
Lazuli Bunting,2,68,0.7206,0.7278,0.6630,0.6926,0.9118
Surf Scoter,2,61,0.7213,0.6356,0.6971,0.6559,0.9344
Gray Jay,1,54,0.7222,0.8478,0.7222,0.7800,0.8704
Say's Phoebe,1,58,0.7241,0.6885,0.7241,0.7059,0.8793
Carolina Chickadee,1,58,0.7241,0.5600,0.7241,0.6316,0.9483
Blackburnian Warbler,1,51,0.7255,0.6852,0.7255,0.7048,0.8039
Palm Warbler,1,44,0.7273,0.7442,0.7273,0.7356,0.9318
Indigo Bunting,2,99,0.7273,0.7069,0.7122,0.7064,0.9091
Blackpoll Warbler,2,103,0.7282,0.7421,0.7469,0.7442,0.8641
Red-throated Loon,2,59,0.7288,0.6218,0.6436,0.6309,0.8983
Eurasian Collared-Dove,1,59,0.7288,0.6825,0.7288,0.7049,0.9322
Black Rosy-Finch,1,26,0.7308,0.8261,0.7308,0.7755,0.9615
Little Blue Heron,2,97,0.7320,0.6198,0.7212,0.6651,0.9485
Willet,1,60,0.7333,0.7719,0.7333,0.7521,0.9667
Hermit Thrush,1,60,0.7333,0.7857,0.7333,0.7586,0.9333
Blue-gray Gnatcatcher,1,60,0.7333,0.8302,0.7333,0.7788,0.9167
Mountain Bluebird,1,49,0.7347,0.6923,0.7347,0.7129,0.9184
Phainopepla,2,53,0.7358,0.7647,0.7325,0.7482,0.8679
Yellow-throated Vireo,1,38,0.7368,0.7000,0.7368,0.7179,0.9474
Scaled Quail,1,19,0.7368,0.7000,0.7368,0.7179,1.0000
Clark's Grebe,1,38,0.7368,0.6087,0.7368,0.6667,0.9474
Dark-eyed Junco,5,192,0.7396,0.8144,0.6172,0.6415,0.9375
European Starling,3,154,0.7403,0.7939,0.7285,0.7586,0.9351
