species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
American Pipit,1,58,0.7241,0.7119,0.7241,0.7179,0.8966
Mallard,2,120,0.7250,0.7052,0.7250,0.7134,0.8500
Whimbrel,1,51,0.7255,0.6607,0.7255,0.6916,0.8431
Palm Warbler,1,44,0.7273,0.7273,0.7273,0.7273,0.8864
Northern Flicker,2,118,0.7288,0.7161,0.7288,0.7211,0.8814
Red-breasted Merganser,2,85,0.7294,0.6769,0.7312,0.6976,0.9176
Fox Sparrow,3,119,0.7311,0.7119,0.5952,0.6159,0.8908
Ash-throated Flycatcher,1,41,0.7317,0.9091,0.7317,0.8108,0.8537
Western Meadowlark,1,60,0.7333,0.6875,0.7333,0.7097,0.9167
Nashville Warbler,1,60,0.7333,0.5238,0.7333,0.6111,0.9167
Spotted Towhee,1,60,0.7333,0.8148,0.7333,0.7719,0.8667
Greater Roadrunner,1,34,0.7353,0.8929,0.7353,0.8065,0.9118
Harris's Sparrow,2,61,0.7377,0.8375,0.7418,0.7868,0.8361
Curve-billed Thrasher,1,46,0.7391,0.7083,0.7391,0.7234,0.8696
Gray Jay,1,54,0.7407,0.6557,0.7407,0.6957,0.8333
Bewick's Wren,1,58,0.7414,0.7049,0.7414,0.7227,0.9310
Dunlin,2,93,0.7419,0.7105,0.7478,0.7273,0.9355
Bufflehead,2,93,0.7419,0.6277,0.7318,0.6747,0.9247
Golden-crowned Kinglet,1,51,0.7451,0.9500,0.7451,0.8352,0.9608
Black-headed Grosbeak,2,106,0.7453,0.7551,0.7259,0.7379,0.9245
Mute Swan,1,60,0.7500,0.6250,0.7500,0.6818,0.9500
Ovenbird,1,60,0.7500,0.9375,0.7500,0.8333,0.9000
Swamp Sparrow,1,60,0.7500,0.8333,0.7500,0.7895,0.9500
White-breasted Nuthatch,1,60,0.7500,0.7031,0.7500,0.7258,0.8667
Ruffed Grouse,1,40,0.7500,0.6000,0.7500,0.6667,0.9500
Blue-headed Vireo,1,52,0.7500,0.6500,0.7500,0.6964,0.9038
Barn Swallow,1,57,0.7544,0.8113,0.7544,0.7818,0.9298
Golden-crowned Sparrow,2,102,0.7549,0.8204,0.7560,0.7864,0.9118
White Ibis,2,91,0.7582,0.7008,0.7059,0.6892,0.8901
Swainson's Thrush,1,58,0.7586,0.6984,0.7586,0.7273,0.9138
Swallow-tailed Kite,1,29,0.7586,0.4783,0.7586,0.5867,0.9310
House Finch,2,112,0.7589,0.7367,0.7519,0.7419,0.9107
White-throated Sparrow,2,104,0.7596,0.7517,0.7328,0.7284,0.9615
Ladder-backed Woodpecker,1,50,0.7600,0.6032,0.7600,0.6726,0.9600
Clark's Nutcracker,1,46,0.7609,0.7955,0.7609,0.7778,0.8478
Brown-headed Cowbird,2,109,0.7615,0.5969,0.7553,0.6668,0.8991
Vermilion Flycatcher,2,89,0.7640,0.7760,0.7217,0.7442,0.8876
Ring-necked Duck,2,68,0.7647,0.6197,0.7614,0.6814,0.9265
Common Gallinule,2,64,0.7656,0.5821,0.6156,0.5887,0.9219
Wilson's Warbler,1,60,0.7667,0.7302,0.7667,0.7480,0.9500
Song Sparrow,1,60,0.7667,0.7419,0.7667,0.7541,0.9167
Burrowing Owl,1,43,0.7674,0.6875,0.7674,0.7253,0.9070
Northern Waterthrush,1,56,0.7679,0.7818,0.7679,0.7748,0.8750
Horned Grebe,2,95,0.7684,0.6402,0.7690,0.6984,0.9474
Black-throated Blue Warbler,2,91,0.7692,0.8353,0.7577,0.7944,0.9121
Canyon Wren,1,26,0.7692,0.4348,0.7692,0.5556,0.9615
Magnolia Warbler,2,105,0.7714,0.8242,0.7694,0.7929,0.9429
Brown Thrasher,1,57,0.7719,0.8148,0.7719,0.7928,0.8947
Painted Bunting,2,98,0.7755,0.7934,0.7440,0.7677,0.9592
Say's Phoebe,1,58,0.7759,0.7759,0.7759,0.7759,0.9138
Northern Saw-whet Owl,1,45,0.7778,0.7955,0.7778,0.7865,0.8444
Chestnut-sided Warbler,2,95,0.7789,0.8130,0.7357,0.7689,0.9579
Rufous-crowned Sparrow,1,41,0.7805,0.7805,0.7805,0.7805,0.8780
Red-winged Blackbird,2,119,0.7815,0.8242,0.7821,0.8018,0.9244
Chipping Sparrow,2,106,0.7830,0.8373,0.7601,0.7923,0.9434
Gray Catbird,1,60,0.7833,0.5949,0.7833,0.6763,0.9000
Eastern Kingbird,1,60,0.7833,0.7231,0.7833,0.7520,0.8833
Blue-gray Gnatcatcher,1,60,0.7833,0.7344,0.7833,0.7581,0.9333
Dickcissel,1,60,0.7833,0.9400,0.7833,0.8545,0.9333
Mourning Dove,1,60,0.7833,0.6438,0.7833,0.7068,0.8500
Blue Jay,1,60,0.7833,0.7966,0.7833,0.7899,0.9000
Prairie Warbler,1,60,0.7833,0.7705,0.7833,0.7769,0.9500
Solitary Sandpiper,1,56,0.7857,0.7458,0.7857,0.7652,0.9464
Green-tailed Towhee,1,28,0.7857,0.6471,0.7857,0.7097,1.0000
Clark's Grebe,1,38,0.7895,0.6977,0.7895,0.7407,0.9737
White-winged Dove,1,57,0.7895,0.8654,0.7895,0.8257,0.8772
Scaled Quail,1,19,0.7895,0.8333,0.7895,0.8108,0.9474
American Goldfinch,2,120,0.7917,0.8242,0.7917,0.8074,0.9333
Purple Finch,2,97,0.7938,0.6863,0.7853,0.7313,0.9588
Bobolink,2,88,0.7955,0.6825,0.7697,0.7156,0.9318
Eastern Towhee,1,54,0.7963,0.6825,0.7963,0.7350,0.9444
Lark Sparrow,1,59,0.7966,0.7705,0.7966,0.7833,0.9153
Pine Grosbeak,2,74,0.7973,0.8265,0.7934,0.8096,0.9054
American Redstart,2,119,0.7983,0.8429,0.7973,0.8187,0.9076
Black-bellied Whistling-Duck,1,20,0.8000,0.8000,0.8000,0.8000,0.9000
Red-breasted Nuthatch,1,60,0.8000,0.8571,0.8000,0.8276,0.8667
Eastern Bluebird,1,60,0.8000,0.6957,0.8000,0.7442,0.9167
Black-and-white Warbler,1,60,0.8000,0.7385,0.8000,0.7680,0.8833
Yellow-breasted Chat,1,60,0.8000,0.7385,0.8000,0.7680,0.9167
Tufted Titmouse,1,60,0.8000,0.6575,0.8000,0.7218,0.9000
Wilson's Snipe,1,55,0.8000,0.6769,0.8000,0.7333,0.8545
Baltimore Oriole,2,107,0.8037,0.7465,0.7948,0.7683,0.9626
Prothonotary Warbler,1,46,0.8043,0.8222,0.8043,0.8132,0.8913
Scarlet Tanager,2,77,0.8052,0.6446,0.7704,0.6922,0.9740
Rose-breasted Grosbeak,2,108,0.8056,0.7194,0.7917,0.7527,0.9722
Spotted Sandpiper,2,98,0.8061,0.7394,0.8029,0.7681,0.9286
Black Turnstone,1,47,0.8085,0.8444,0.8085,0.8261,0.9149
Scissor-tailed Flycatcher,1,37,0.8108,0.7317,0.8108,0.7692,0.9189
American Robin,2,119,0.8151,0.8006,0.8157,0.8076,0.9076
Hooded Warbler,1,49,0.8163,0.7692,0.8163,0.7921,0.9592
Yellow-throated Warbler,1,60,0.8167,0.8305,0.8167,0.8235,0.9167
Black-throated Green Warbler,1,60,0.8167,0.7656,0.8167,0.7903,0.9333
Pine Siskin,1,60,0.8167,0.8167,0.8167,0.8167,0.9333
Yellow-headed Blackbird,2,83,0.8193,0.8333,0.7929,0.8073,0.9036
