species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Yellow-breasted Chat,1,60,0.9667,0.8923,0.9667,0.9280,0.9833
Red-bellied Woodpecker,1,60,0.9667,0.8788,0.9667,0.9206,0.9833
Red-breasted Nuthatch,1,60,0.9667,0.9508,0.9667,0.9587,0.9667
Swamp Sparrow,1,60,0.9667,0.7945,0.9667,0.8722,0.9833
Ruby-crowned Kinglet,1,60,0.9667,0.8657,0.9667,0.9134,1.0000
Pileated Woodpecker,1,60,0.9667,0.9508,0.9667,0.9587,0.9833
Pied-billed Grebe,1,60,0.9667,0.9508,0.9667,0.9587,0.9833
Blue Jay,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
Bohemian Waxwing,1,60,0.9667,1.0000,0.9667,0.9831,1.0000
Belted Kingfisher,1,60,0.9667,0.9355,0.9667,0.9508,0.9833
Barred Owl,1,60,0.9667,0.9206,0.9667,0.9431,1.0000
Brant,1,32,0.9688,1.0000,0.9688,0.9841,1.0000
California Thrasher,1,32,0.9688,1.0000,0.9688,0.9841,1.0000
Brown Pelican,1,34,0.9706,1.0000,0.9706,0.9851,0.9706
Black-billed Magpie,1,38,0.9737,0.9024,0.9737,0.9367,1.0000
American Robin,2,119,0.9748,0.9281,0.9749,0.9509,1.0000
Ruffed Grouse,1,40,0.9750,0.9286,0.9750,0.9512,1.0000
Northern Cardinal,2,120,0.9750,0.9434,0.9750,0.9589,1.0000
Cactus Wren,1,43,0.9767,0.9767,0.9767,0.9767,1.0000
Burrowing Owl,1,43,0.9767,0.8936,0.9767,0.9333,0.9767
Great Horned Owl,1,46,0.9783,0.8182,0.9783,0.8911,1.0000
Golden-crowned Kinglet,1,51,0.9804,0.9804,0.9804,0.9804,1.0000
Osprey,1,52,0.9808,0.8793,0.9808,0.9273,0.9808
Semipalmated Plover,1,54,0.9815,0.9464,0.9815,0.9636,1.0000
Ruddy Turnstone,1,55,0.9818,0.9643,0.9818,0.9730,0.9818
Barn Swallow,1,57,0.9825,0.8750,0.9825,0.9256,1.0000
Brown Creeper,1,58,0.9828,0.9661,0.9828,0.9744,1.0000
Evening Grosbeak,2,120,0.9833,0.9526,0.9833,0.9675,0.9917
Loggerhead Shrike,1,60,0.9833,0.8806,0.9833,0.9291,0.9833
Western Scrub-Jay,1,60,0.9833,0.8939,0.9833,0.9365,0.9833
Green Heron,1,60,0.9833,0.9219,0.9833,0.9516,1.0000
Mute Swan,1,60,0.9833,0.8194,0.9833,0.8939,1.0000
Black Phoebe,1,60,0.9833,0.9365,0.9833,0.9593,1.0000
Marbled Godwit,1,60,0.9833,0.8676,0.9833,0.9219,1.0000
Black-bellied Plover,2,77,0.9870,0.8942,0.9857,0.9377,1.0000
Black-bellied Whistling-Duck,1,20,1.0000,0.9524,1.0000,0.9756,1.0000
Steller's Jay,1,60,1.0000,0.9524,1.0000,0.9756,1.0000
Northern Bobwhite,1,32,1.0000,0.9697,1.0000,0.9846,1.0000
Roseate Spoonbill,1,29,1.0000,1.0000,1.0000,1.0000,1.0000
Canyon Wren,1,26,1.0000,0.8966,1.0000,0.9455,1.0000
Black Turnstone,1,47,1.0000,1.0000,1.0000,1.0000,1.0000
Greater Roadrunner,1,34,1.0000,1.0000,1.0000,1.0000,1.0000
American Avocet,1,54,1.0000,1.0000,1.0000,1.0000,1.0000
Carolina Wren,1,60,1.0000,0.8696,1.0000,0.9302,1.0000
Painted Bunting,2,98,1.0000,0.9535,1.0000,0.9756,1.0000
Blue-winged Warbler,1,38,1.0000,0.9048,1.0000,0.9500,1.0000
American Dipper,1,31,1.0000,0.8611,1.0000,0.9254,1.0000
Black-necked Stilt,1,33,1.0000,0.9429,1.0000,0.9706,1.0000
Green-tailed Towhee,1,28,1.0000,0.8000,1.0000,0.8889,1.0000
